Month,Race/Ethnicity,gender,residency,action_taken,CALLS FOR SERVICE,CHECK POINT,EQUIPMENT VIOLATION,OTHER INVESTIGATIVE DETENTION,TERRY STOP,TRAFFIC VIOLATION
2020-07,ASIAN/PACIFIC ISLANDER,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-07,ASIAN/PACIFIC ISLANDER,MALE,,CITATION/SUMMONS,0,0,0,0,1,3
2020-07,BLACK,FEMALE,,WARNING ISSUED,0,0,0,0,0,1
2020-07,BLACK,MALE,,CITATION/SUMMONS,1,0,0,0,0,0
2020-07,LATINO,FEMALE,,WARNING ISSUED,0,0,0,0,0,1
2020-07,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,0,2
2020-07,WHITE,MALE,,CITATION/SUMMONS,0,0,2,0,0,0
2020-07,WHITE,MALE,,WARNING ISSUED,0,0,0,0,0,1
2020-08,ASIAN/PACIFIC ISLANDER,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-08,BLACK,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-08,BLACK,MALE,,CITATION/SUMMONS,1,0,1,0,0,4
2020-08,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,0,4
2020-08,WHITE,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-08,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-08,WHITE,MALE,,NO ENFORCEMENT ACTION,0,0,0,0,1,0
2020-08,WHITE,MALE,,WARNING ISSUED,0,0,0,0,0,1
2020-09,BLACK,MALE,,CITATION/SUMMONS,0,0,0,0,0,4
2020-09,LATINO,FEMALE,,WARNING ISSUED,0,0,0,0,0,1
2020-09,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-09,LATINO,MALE,,WARNING ISSUED,0,0,1,0,0,0
2020-09,UNKNOWN,MALE,,NO ENFORCEMENT ACTION,0,0,0,0,1,0
2020-09,WHITE,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,2
2020-09,WHITE,MALE,,CITATION/SUMMONS,1,0,0,0,0,0
2020-09,WHITE,MALE,,WARNING ISSUED,0,0,0,0,0,1
2020-10,ASIAN/PACIFIC ISLANDER,MALE,,CITATION/SUMMONS,1,0,0,0,0,1
2020-10,BLACK,MALE,,CITATION/SUMMONS,0,0,0,0,0,2
2020-10,BLACK,MALE,,WARNING ISSUED,0,0,0,0,0,1
2020-10,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-10,LATINO,MALE,,WARNING ISSUED,0,0,0,0,0,2
2020-10,WHITE,FEMALE,,WARNING ISSUED,0,0,0,0,0,1
2020-10,WHITE,MALE,,CITATION/SUMMONS,0,0,1,0,0,2
2020-10,WHITE,MALE,,WARNING ISSUED,0,0,0,0,0,2
2020-11,ASIAN/PACIFIC ISLANDER,FEMALE,,CITATION/SUMMONS,0,0,2,0,0,0
2020-11,BLACK,MALE,,CITATION/SUMMONS,1,0,0,0,0,1
2020-11,BLACK,MALE,,WARNING ISSUED,0,0,1,0,0,0
2020-11,LATINO,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,2
2020-11,LATINO,MALE,,CITATION/SUMMONS,0,0,0,0,0,3
2020-11,UNKNOWN,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,2
2020-11,UNKNOWN,MALE,,WARNING ISSUED,0,0,0,0,0,1
2020-11,WHITE,MALE,,CITATION/SUMMONS,0,0,0,0,0,4
2020-11,WHITE,MALE,,WARNING ISSUED,0,0,0,0,0,1
2020-12,ASIAN/PACIFIC ISLANDER,MALE,,CITATION/SUMMONS,0,0,0,0,0,3
2020-12,BLACK,FEMALE,,CITATION/SUMMONS,0,0,0,0,0,3
2020-12,BLACK,MALE,,CITATION/SUMMONS,0,0,0,0,0,1
2020-12,BLACK,MALE,,NO ENFORCEMENT ACTION,0,0,0,0,1,0
